name,cpf,age,data,address,state
Ana Luiza Fogaça,435.167.890-93,23,2001-07-22,"rodovia de fernandes, 76
califórnia
13478558 jesus da prata / to",SERGIPE
Igor Gomes,784.326.590-29,56,1968-03-14,"residencial isadora pimenta, 61
vila jardim são josé
05335-391 albuquerque do campo / sc",RIO GRANDE DO SUL
Hadassa Vasconcelos,697.423.508-92,19,2005-03-19,"aeroporto da rocha, 1
unidas
46608220 machado / am",ACRE
Anthony Gabriel Da Rocha,462.890.573-83,41,1983-11-16,"passarela de aparecida, 16
nova vista
44941-274 cavalcanti / to",PERNAMBUCO
Cecília Farias,642.798.315-64,56,1968-05-18,"loteamento ana laura sá, 29
acaiaca
65400-558 da luz / ce",MARANHÃO
Oliver Abreu,867.930.514-66,59,1965-11-07,"núcleo farias, 16
vila paraíso
22173-086 albuquerque do galho / ac",AMAPÁ
Dra. Letícia Abreu,547.091.268-01,23,2001-05-17,"rodovia augusto ramos, 732
santa tereza
42656-034 araújo da prata / es",PARAÍBA
Maria Laura Teixeira,810.237.645-71,21,2003-08-19,"travessa lima
vila inestan
98694308 araújo dos dourados / ms",ACRE
Sr. Emanuel Garcia,590.837.621-30,21,2004-01-08,"feira castro, 8
são cristóvão
50579797 ramos / al",PIAUÍ
Hadassa Ferreira,317.489.605-39,20,2004-09-08,"loteamento de martins, 712
vila nova cachoeirinha 3ª seção
60162126 da conceição do sul / ap",SERGIPE
Maitê Fogaça,605.472.318-90,23,2001-03-17,"trecho castro
vila da paz
37229525 pimenta do galho / ms",RIO GRANDE DO SUL
Maria Fernanda Siqueira,435.786.219-19,22,2003-01-16,"trevo lorena fogaça, 6
indaiá
09174293 fernandes da mata / pi",BAHIA
Henry Ramos,235.860.941-24,40,1984-03-24,"chácara silveira, 71
nazare
52566-722 albuquerque / pa",MINAS GERAIS
Eloá Vargas,678.392.514-55,42,1982-07-18,"chácara maria fernanda da paz, 93
nova esperança
95524028 freitas / ce",RORAIMA
Rafael Vasconcelos,871.435.962-64,39,1985-11-03,"via de alves, 30
vila nova dos milionarios
12260-142 carvalho / rj",ESPÍRITO SANTO
Vitor Gabriel Vasconcelos,713.482.605-80,37,1987-03-29,"residencial arthur gabriel borges, 316
esperança
34068635 ribeiro do amparo / go",PIAUÍ
Pietra Da Cunha,458.791.306-57,21,2003-03-28,"praia guerra, 55
são damião
93582-342 barbosa / go",TOCANTINS
Sra. Nina Da Cunha,142.937.068-87,58,1966-03-28,"pátio luiz miguel fonseca, 37
marilandia
27571-980 monteiro / mg",PARÁ
Cauã Leão,523.614.079-06,59,1966-01-14,"feira de novais, 24
mineirão
41210-128 machado / pi",MINAS GERAIS
Lunna Das Neves,782.356.401-71,21,2003-05-09,"residencial de silva, 86
conjunto providencia
78939-068 novaes / es",PERNAMBUCO
Camila Mendes,193.586.720-21,37,1988-01-23,"vale benício guerra, 8
inconfidência
39941-331 moura do amparo / ac",PERNAMBUCO
Eduarda Nunes,245.806.173-71,57,1968-02-16,"conjunto benício viana, 95
santa cecilia
20791-754 barros do norte / rr",AMAZONAS
Renan Moura,430.681.295-24,54,1970-03-14,"distrito nathan da paz, 311
juliana
88260240 da mata / rn",AMAPÁ
Emilly Moreira,069.231.754-61,60,1964-05-20,"núcleo ferreira, 19
sion
82142-032 casa grande / rn",PERNAMBUCO
Caleb Fogaça,705.813.694-75,25,1999-03-17,"trecho maria helena moraes, 24
joão pinheiro
18324-909 porto / ma",RIO DE JANEIRO
Sra. Esther Sampaio,106.489.352-05,50,1975-03-06,"lago de novaes, 575
dom cabral
08797327 gonçalves / pb",RONDÔNIA
Danilo Nunes,652.830.197-21,48,1977-03-03,"jardim pietra sá
carmo
92828-300 viana / pr",TOCANTINS
Raul Nogueira,475.186.209-01,58,1967-01-31,"loteamento gomes, 53
santa sofia
41569885 borges / pb",RIO GRANDE DO NORTE
Maria Julia Guerra,013.856.492-24,44,1980-06-08,"via novais, 13
santa terezinha
68778832 da rocha / al",ESPÍRITO SANTO
Theodoro Novaes,759.602.431-99,45,1979-05-01,"largo allana novais, 67
santa isabel
81731-032 vargas / sp",RIO DE JANEIRO
Ana Clara Da Costa,289.563.470-00,28,1996-08-09,"travessa anthony gabriel pereira, 53
jaqueline
05089724 freitas / am",RIO GRANDE DO SUL
Samuel Da Luz,379.051.842-50,32,1992-09-10,"rodovia isadora vasconcelos, 63
corumbiara
67950499 da mota grande / am",AMAZONAS
Bella Cavalcante,487.369.502-38,20,2005-02-15,"estrada de da luz, 7
vila copasa
98439-570 garcia / pr",MINAS GERAIS
Dr. Francisco Camargo,247.803.519-79,59,1965-12-21,"lago de das neves, 49
vila do pombal
23597484 marques / ms",PARANÁ
Srta. Ana Julia Da Cunha,698.271.304-04,52,1972-10-06,"esplanada borges
joão pinheiro
91737-992 almeida do campo / ba",MATO GROSSO
Sofia Correia,631.790.825-77,46,1978-09-06,"conjunto allana da conceição, 92
grajaú
67077-308 andrade / ba",BAHIA
Maria Luísa Machado,930.487.165-48,47,1978-01-10,"fazenda de carvalho, 4
castanheira
51921-188 cardoso de freitas / ap",RIO GRANDE DO SUL
Henrique Ferreira,350.972.684-74,20,2004-12-29,"pátio de nunes, 49
santa rosa
26241-263 mendonça de aparecida / ma",RIO DE JANEIRO
Júlia Rios,587.942.316-64,41,1983-06-05,"travessa miguel machado, 18
boa vista
64709789 ramos da mata / es",RORAIMA
Dra. Sabrina Aragão,174.265.089-94,52,1972-05-24,"chácara davi cirino, 53
etelvina carneiro
62856-351 fonseca / rj",BAHIA
Sarah Viana,786.214.530-53,50,1975-01-07,"aeroporto pacheco, 599
confisco
76852440 aragão alegre / ap",DISTRITO FEDERAL
Pietra Da Rocha,208.947.516-11,38,1986-09-06,"praia souza, 6
guarani
33644505 viana paulista / am",MATO GROSSO DO SUL
Eduardo Costa,870.192.435-41,53,1971-12-23,"praia moraes, 39
colégio batista
74815-000 farias de moura / ro",AMAPÁ
Sra. Maria Clara Da Paz,612.753.940-43,27,1997-12-17,"esplanada cauê moraes, 81
rio branco
65352-449 mendes do sul / ce",GOIÁS
Nicolas Silveira,258.137.946-46,56,1968-04-28,"estrada laís sales, 65
miramar
97165-681 mendonça / sp",AMAPÁ
Dr. Oliver Andrade,748.206.915-11,47,1977-05-16,"estrada de macedo, 389
barão homem de melo 3ª seção
17550-885 mendes da serra / pe",PARAÍBA
Ana Beatriz Pacheco,503.874.196-75,51,1973-10-15,"viela de costa, 29
lourdes
58510196 freitas / rj",ALAGOAS
Srta. Allana Moraes,160.948.375-84,20,2004-05-09,"fazenda helena lima, 928
monsenhor messias
82949-894 da luz do amparo / pa",MARANHÃO
Clara Da Rosa,749.530.162-70,26,1998-08-16,"pátio fernandes, 47
sport club
60563-679 santos / pa",PARANÁ
Sr. Brayan Aragão,639.041.758-66,45,1979-05-31,"colônia de cardoso, 44
solimoes
23187-037 alves / pi",RIO GRANDE DO SUL
Ana Carolina Pastor,051.429.637-25,53,1972-03-05,"viela da cruz, 41
venda nova
50415243 borges de da mota / rs",MINAS GERAIS
Cauê Silveira,650.718.239-77,36,1988-12-10,"avenida nogueira, 808
vila nova cachoeirinha 2ª seção
05207-951 das neves / sc",RIO GRANDE DO NORTE
Renan Moura,783.605.491-84,25,1999-11-04,"núcleo de novaes, 65
são lucas
15234-419 silva / to",TOCANTINS
Kevin Guerra,829.315.076-95,29,1995-06-23,"viela de andrade, 691
conjunto paulo vi
00518934 viana do norte / ce",RORAIMA
Srta. Alícia Aparecida,629.150.387-59,58,1966-03-19,"praia isis vasconcelos
vila independencia 1ª seção
19884709 pires de novais / ms",TOCANTINS
Ana Julia Gonçalves,187.695.304-75,28,1996-12-16,"estrada de cirino, 2
união
47150-602 porto / mg",MATO GROSSO DO SUL
Alana Da Mata,569.732.841-91,47,1977-06-16,"morro farias, 7
sion
65038-645 cavalcante / go",RIO DE JANEIRO
Dr. Pietro Cavalcanti,547.981.362-55,49,1976-01-18,"lagoa davi lucca guerra, 16
nossa senhora aparecida
45947-948 porto do oeste / ce",GOIÁS
Matheus Rios,527.198.436-28,18,2006-10-23,"trecho albuquerque
manacas
79819-390 garcia dos dourados / se",RIO GRANDE DO NORTE
Breno Pires,781.459.320-41,23,2001-08-03,"feira de câmara
grota
60430-544 silveira / ce",ALAGOAS
Maria Luísa Guerra,269.750.431-16,20,2004-06-19,"esplanada carolina pastor, 24
nossa senhora da conceição
50074705 rodrigues / to",PIAUÍ
Luiz Fernando Souza,317.268.450-44,55,1969-09-29,"estação de vargas
liberdade
67470104 melo / go",AMAPÁ
Dr. Caleb Novaes,541.098.237-14,44,1980-07-03,"setor rezende, 68
vila sesc
54854562 cavalcante / to",PIAUÍ
Theo Barros,046.918.257-11,41,1983-10-27,"vila de dias, 2
vila trinta e um de março
15220-172 montenegro / ro",SANTA CATARINA
Milena Almeida,287.469.031-78,53,1972-01-27,"trevo de oliveira
vila santa rosa
09198-137 fernandes de goiás / ce",PARÁ
Isaac Guerra,925.041.673-34,49,1975-05-06,"praia isabel silveira
flavio de oliveira
84811-776 peixoto de marques / pb",ESPÍRITO SANTO
Nicolas Barros,603.294.185-05,55,1969-03-18,"viaduto ryan martins, 91
mala e cuia
44940-860 jesus do sul / al",MATO GROSSO DO SUL
Dr. Arthur Pires,960.378.452-47,36,1989-01-05,"passarela cardoso, 14
joão alfredo
38129-854 rios / pi",AMAPÁ
Diogo Gonçalves,089.352.741-60,24,2000-03-23,"lagoa de vasconcelos, 49
alta tensão 1ª seção
52067-149 da mata / rs",PERNAMBUCO
Davi Luiz Da Costa,329.156.480-42,55,1969-07-03,"praia de correia, 9
conjunto floramar
73185-061 carvalho / sc",PARAÍBA
Erick Machado,972.463.518-09,54,1970-08-20,"passarela de novaes
providencia
39846-123 borges / pb",SANTA CATARINA
Gabriel Fonseca,748.096.123-50,45,1980-01-28,"setor de macedo, 20
vila esplanada
24705199 machado do sul / ma",TOCANTINS
Kaique Leão,761.425.083-44,44,1980-06-18,"esplanada de peixoto
vila batik
70533-878 albuquerque / se",PERNAMBUCO
Maria Vitória Araújo,873.024.695-47,54,1970-11-06,"aeroporto almeida, 567
coração de jesus
63170281 pinto / ce",TOCANTINS
Maysa Castro,561.493.827-37,24,2000-06-27,"feira nunes, 29
são cristóvão
01179316 cardoso das flores / to",GOIÁS
Theo Gonçalves,243.609.187-04,38,1986-06-20,"lagoa nina pimenta
pantanal
60032242 porto alegre / pb",RONDÔNIA
Asafe Sousa,264.810.793-22,36,1988-11-04,"praça dias
paquetá
78474-467 dias / am",PARAÍBA
Maria Isis Novais,245.630.978-29,22,2002-03-14,"travessa natália vasconcelos, 7
vista do sol
59352-042 câmara / pr",RIO GRANDE DO SUL
Anthony Gabriel Silveira,638.024.571-53,35,1989-05-08,"trevo lunna cassiano, 3
goiania
03040036 silva / rj",MINAS GERAIS
Eduardo Da Costa,962.317.450-07,33,1991-04-14,"condomínio camargo, 60
jaraguá
63882202 nunes grande / df",RIO DE JANEIRO
Davi Luiz Guerra,548.193.720-41,18,2006-12-19,"aeroporto de melo, 46
boa esperança
72477-173 sá / ma",ALAGOAS
Vitor Gabriel Teixeira,437.608.219-87,58,1967-01-03,"alameda isaque silveira, 58
barão homem de melo 3ª seção
62720230 ramos da mata / pi",SÃO PAULO
Dra. Maria Isis Moraes,176.320.495-25,28,1996-06-02,"jardim de duarte, 109
distrito industrial do jatoba
65517-709 vargas / mg",MATO GROSSO
João Aparecida,025.671.943-80,27,1997-07-12,"loteamento da conceição, 652
lagoinha
71164-166 cavalcante dos dourados / am",PARANÁ
Srta. Ana Beatriz Castro,792.043.561-70,46,1978-07-04,"vale pastor, 6
conjunto jatoba
28892982 moreira de nogueira / al",DISTRITO FEDERAL
Rebeca Moraes,360.592.748-38,48,1976-03-30,"feira moura
vila nossa senhora do rosário
61758842 vargas / es",MARANHÃO
Ravi Martins,026.895.431-33,46,1978-10-06,"morro de dias, 9
estoril
56174-865 porto verde / go",CEARÁ
Anna Liz Castro,368.420.517-62,59,1965-12-14,"residencial benjamin silveira, 81
união
26561991 dias / mg",GOIÁS
Alana Pereira,051.864.397-20,44,1980-07-27,"esplanada de pereira, 13
colégio batista
64336-319 aparecida / pa",ACRE
Sr. Léo Fernandes,083.472.561-44,34,1990-09-15,"trevo vieira, 883
esperança
79251856 cavalcanti de da conceição / pb",CEARÁ
Pietra Nascimento,823.459.760-47,44,1980-10-30,"trevo anna liz da cruz, 48
lagoinha
51227-288 siqueira da serra / rr",PIAUÍ
Isabelly Vargas,715.468.902-11,19,2005-09-01,"colônia de da mata, 68
vila minaslandia
78668-978 fernandes / pe",AMAZONAS
Esther Alves,253.901.687-12,55,1969-12-24,"pátio de rezende, 934
alípio de melo
05602-745 viana / pa",PARÁ
Ana Sophia Almeida,458.213.790-32,52,1973-02-14,"praia de gonçalves, 85
universitário
33471-914 costela / pa",ACRE
Isadora Brito,024.918.573-32,33,1992-03-05,"condomínio cavalcante, 1
santa rita
47089-390 silva / sc",PARÁ
Arthur Gabriel Fonseca,564.301.278-26,51,1973-08-12,"rua pedro henrique vasconcelos, 91
estoril
86117-496 silva / ac",RORAIMA
Ágatha Casa Grande,128.350.947-41,55,1969-08-30,"largo de silva, 68
vila sumaré
36205-431 moreira grande / ac",CEARÁ
Josué Lopes,079.451.823-05,31,1993-03-25,"viaduto ravy abreu, 8
esplanada
10452532 albuquerque / ap",PIAUÍ
Paulo Costela,624.735.910-16,60,1965-03-01,"parque luiz otávio da cruz, 39
ademar maldonado
44402-237 da rocha do amparo / mt",PARÁ
Dr. Rhavi Teixeira,794.165.823-28,57,1967-04-12,"alameda yuri carvalho, 77
barão homem de melo 2ª seção
88025-926 pires / pr",AMAPÁ
Daniel Siqueira,973.865.024-00,58,1966-11-12,"aeroporto de dias, 98
madre gertrudes
48110-991 da rosa grande / go",PARANÁ
Maria Cecília Da Paz,713.846.950-01,27,1997-11-14,"viela francisco camargo, 4
distrito industrial do jatoba
16399-669 rodrigues / am",BAHIA
Dra. Luísa Cirino,928.701.356-02,55,1969-06-26,"morro da conceição, 7
cidade jardim taquaril
09430-452 pereira das pedras / mt",BAHIA
Gael Henrique Viana,592.106.874-85,59,1965-05-04,"recanto cassiano, 3
vila das oliveiras
56340396 araújo / df",RORAIMA
Emanuelly Mendes,234.795.160-25,30,1994-11-04,"feira maria sophia leão, 104
cardoso
17061-812 barros de ramos / sp",PERNAMBUCO
Davi Miguel Alves,065.732.194-06,29,1996-01-17,"largo de monteiro, 48
minaslandia
53642763 macedo de ferreira / to",RIO GRANDE DO NORTE
Dra. Ágatha Gomes,409.286.315-24,44,1980-11-28,"setor de pimenta, 48
trevo
04954615 vieira / to",SANTA CATARINA
Sr. Luiz Gustavo Camargo,972.531.460-34,28,1997-01-13,"conjunto amanda macedo, 829
são pedro
63602821 almeida / df",TOCANTINS
Aylla Da Mota,452.163.879-19,60,1964-07-23,"parque de siqueira, 5
ribeiro de abreu
19463852 da rosa / mg",SANTA CATARINA
Joaquim Novais,308.649.712-22,41,1983-08-18,"campo gabrielly da mata
são lucas
25616603 sampaio do amparo / df",GOIÁS
Brayan Brito,412.907.835-60,53,1971-05-26,"via gustavo aragão
novo são lucas
12067-643 cassiano de ribeiro / am",RIO DE JANEIRO
Mirella Costela,705.964.281-11,33,1991-07-22,"lago pedro lucas silveira, 69
vila são paulo
19773249 da rocha / ms",ALAGOAS
Leandro Pacheco,140.567.298-67,42,1983-01-17,"setor de câmara, 735
inconfidência
99778-924 marques dos dourados / rj",RIO GRANDE DO NORTE
Sr. Murilo Moura,925.764.013-25,56,1968-10-11,"trecho de rios, 3
barão homem de melo 1ª seção
14426652 mendonça da prata / ba",MATO GROSSO DO SUL
Caroline Monteiro,174.832.059-97,48,1976-06-28,"estação esther jesus, 31
parque são pedro
17465-472 silva / ce",RORAIMA
Eduardo Vieira,326.089.547-74,56,1968-10-16,"vale de fernandes
cardoso
69083077 caldeira / rr",AMAPÁ
Fernando Cirino,670.291.345-16,49,1975-07-16,"morro de da conceição, 8
gameleira
57609973 aparecida de martins / sp",AMAPÁ
Alexia Camargo,452.809.376-65,47,1978-03-02,"jardim renan da rocha
atila de paiva
80457205 andrade do galho / am",AMAPÁ
Pedro Lucas Da Cunha,347.195.680-84,55,1969-12-24,"campo pedro miguel costela, 753
zilah sposito
67498-716 caldeira / ro",MATO GROSSO
Daniela Brito,637.501.482-44,56,1968-09-24,"lagoa silveira, 248
pongelupe
13151427 moreira / pe",MATO GROSSO DO SUL
Juan Vargas,453.176.092-16,45,1979-11-16,"morro costa, 771
vila primeiro de maio
03284-916 aparecida / pe",RIO GRANDE DO SUL
Mariana Pastor,602.853.491-98,29,1995-06-07,"vila de azevedo, 734
pindorama
38576-012 jesus alegre / mt",SERGIPE
Sr. Breno Ramos,962.741.580-49,37,1988-01-19,"conjunto théo da mata, 39
das industrias i
73359008 cirino / ma",ALAGOAS
Maria Laura Cirino,597.410.283-50,53,1971-09-27,"parque gabriela da costa, 96
são jorge 2ª seção
43729-755 viana verde / es",PERNAMBUCO
Jade Ribeiro,953.826.107-03,22,2002-08-29,"distrito luiza da costa
rio branco
06345-828 da conceição paulista / rj",RORAIMA
Alícia Sá,704.298.651-20,54,1970-06-06,"loteamento joão pedro aparecida, 27
jaraguá
42436-326 garcia dos dourados / mg",BAHIA
Dra. Ana Sophia Santos,304.729.851-32,35,1989-10-23,"estação alana azevedo, 3
vila maria
04900312 ferreira / ba",PARAÍBA
Sr. Murilo Peixoto,497.358.026-00,35,1989-10-18,"setor de ribeiro, 87
ouro minas
81945-691 teixeira / rn",AMAPÁ
Maitê Ferreira,709.231.546-80,60,1964-03-26,"viaduto letícia monteiro, 7
canaa
42683997 abreu / sp",CEARÁ
Hellena Garcia,125.843.609-42,26,1999-02-24,"vila de cavalcante, 5
vila madre gertrudes 2ª seção
75649-966 abreu do amparo / mg",SANTA CATARINA
Sarah Pastor,904.153.287-05,32,1992-11-22,"favela augusto pires, 7
paquetá
89870-431 aparecida de minas / am",ACRE
Ana Beatriz Borges,835.174.269-46,51,1973-07-06,"avenida levi guerra
capitão eduardo
50390752 mendes / sp",SANTA CATARINA
Sra. Melina Lima,981.543.207-97,18,2006-07-04,"recanto da costa, 1
confisco
48664-463 nogueira verde / pr",SERGIPE
Sra. Ana Clara Da Mata,038.572.194-32,42,1982-08-04,"pátio de abreu, 680
esperança
09864823 ramos da serra / pa",AMAZONAS
Thales Andrade,697.124.538-55,29,1995-09-22,"vale de rios, 44
ouro minas
48705-012 da paz do norte / df",GOIÁS
Dra. Luara Pires,471.352.609-61,37,1987-09-05,"vale carvalho, 97
vila novo são lucas
46469966 melo / am",ALAGOAS
Stephany Ramos,298.704.356-29,20,2004-11-30,"distrito joão lucas aragão, 9
são cristóvão
04821138 nunes / pb",MINAS GERAIS
Clara Souza,435.197.068-57,47,1977-07-14,"via nascimento, 2
vila cemig
14287-475 caldeira do sul / ap",AMAZONAS
Daniela Da Costa,369.528.074-38,29,1995-08-20,"fazenda de da mota, 31
sion
17445-542 araújo / mt",RONDÔNIA
Sr. Danilo Pimenta,532.704.861-62,31,1993-03-31,"viela maria luiza andrade, 37
vila nova cachoeirinha 1ª seção
63662-896 freitas / rr",ALAGOAS
Marcela Macedo,589.071.624-76,22,2002-08-20,"fazenda de monteiro, 784
ouro minas
43060483 da cunha / pi",TOCANTINS
Liz Pimenta,639.810.452-89,50,1974-03-29,"vereda de albuquerque, 393
boa união 1ª seção
33710089 nunes / pi",GOIÁS
Melissa Andrade,390.712.654-80,49,1975-10-03,"lagoa siqueira, 1
buritis
92255-886 macedo da mata / rj",ACRE
Sara Castro,927.068.135-12,28,1996-11-08,"loteamento de moraes, 74
bonsucesso
03187-215 pimenta / ma",RIO DE JANEIRO
Dr. Arthur Moraes,514.698.703-39,29,1995-04-03,"lagoa ryan pinto, 859
são josé
48820-841 da rocha da serra / se",AMAZONAS
Srta. Clarice Dias,942.351.870-23,44,1980-12-02,"condomínio fogaça, 3
alto dos pinheiros
31510672 brito dos dourados / mt",MATO GROSSO DO SUL
Pedro Lucas Pires,416.908.732-13,42,1982-11-03,"rodovia de souza, 27
vila madre gertrudes 2ª seção
16403-954 gonçalves de goiás / mt",TOCANTINS
Bento Da Conceição,762.509.431-61,42,1982-03-21,"campo sabrina das neves, 172
vila independencia 2ª seção
72248-875 pastor / ms",PARÁ
Kamilly Andrade,623.408.591-15,25,1999-09-10,"pátio valentim novaes, 71
vila nova cachoeirinha 1ª seção
75355489 fogaça / am",MATO GROSSO
Mirella Nascimento,759.041.683-57,30,1994-09-10,"estrada fernando porto, 97
prado
10426162 camargo da mata / mg",ACRE
Bruno Cavalcanti,710.859.246-02,29,1995-12-01,"ladeira vasconcelos, 97
são benedito
98637-023 carvalho / pa",RORAIMA
Davi Luiz Nascimento,194.285.603-24,31,1993-08-24,"viela vieira
estoril
90338-516 cirino de minas / ce",CEARÁ
Brenda Moreira,235.946.087-00,23,2001-11-24,"avenida de câmara, 32
universitário
00565-381 nascimento / am",SANTA CATARINA
Dra. Anna Liz Da Luz,958.024.137-60,28,1996-10-21,"loteamento emanuelly souza, 104
dom cabral
62078-605 dias / se",PERNAMBUCO
Maria Helena Novais,014.967.238-13,46,1978-06-21,"esplanada vasconcelos, 97
são marcos
45167-890 dias de castro / am",SANTA CATARINA
Julia Montenegro,216.534.079-99,19,2005-10-02,"favela felipe cassiano, 40
olaria
28567699 campos verde / mt",PARAÍBA
Srta. Maria Vitória Aragão,351.249.680-60,57,1968-01-16,"chácara de duarte, 64
alto barroca
14053-996 ribeiro dos dourados / go",CEARÁ
João Felipe Nunes,591.437.682-37,35,1989-05-17,"lago almeida, 78
gutierrez
55056807 pereira / rj",SANTA CATARINA
Pedro Novaes,023.576.849-92,50,1974-03-15,"favela joão vitor nascimento, 2
santa lúcia
72192453 cavalcante / al",BAHIA
Sophie Pacheco,425.176.938-46,26,1998-09-14,"morro de pastor, 66
rio branco
79067845 borges da mata / se",ESPÍRITO SANTO
Gabrielly Santos,157.209.348-04,46,1978-05-22,"núcleo de almeida, 8
cinquentenário
42721920 macedo verde / al",RONDÔNIA
Ravy Jesus,031.942.687-40,57,1967-07-06,"estação rafael da rosa, 52
coração de jesus
20204007 novaes alegre / ap",PIAUÍ
Leandro Da Rosa,801.437.259-04,55,1969-03-20,"rodovia maitê alves, 3
aarão reis
50006-648 da luz / ce",SERGIPE
Breno Da Rocha,175.283.649-91,42,1982-12-01,"chácara alexandre vieira, 9
paraíso
62317878 silva / pe",RORAIMA
Ágatha Da Paz,847.260.315-62,55,1969-08-10,"vila de peixoto
delta
71642-663 andrade / rn",PIAUÍ
Antony Cunha,578.940.362-00,40,1985-02-26,"fazenda apollo teixeira, 257
alípio de melo
06898721 sá verde / ba",MINAS GERAIS
Luigi Rodrigues,802.341.796-78,19,2005-10-24,"favela de pinto, 84
minas caixa
91027230 mendonça / mt",RIO GRANDE DO SUL
Daniel Silveira,165.983.472-46,46,1978-06-26,"travessa de vieira, 3
urca
31249-154 cirino / pa",DISTRITO FEDERAL
Sra. Lorena Santos,974.152.036-07,35,1989-10-04,"pátio maria luísa duarte, 542
carlos prates
27459-025 da mota / ac",RIO DE JANEIRO
Marcela Castro,710.829.364-13,52,1972-07-12,"área benicio abreu, 2
vila ipiranga
49119-191 lopes de albuquerque / pb",SERGIPE
Pietro Viana,826.497.310-87,38,1986-08-09,"alameda lopes, 18
vale do jatoba
61720-756 da mata verde / ro",SERGIPE
Eduarda Montenegro,859.231.704-50,37,1987-04-12,"aeroporto de caldeira, 67
marmiteiros
05179-915 rezende / ce",BAHIA
Sr. Daniel Da Cunha,987.125.406-76,19,2005-06-29,"largo cavalcante, 26
vila nova cachoeirinha 3ª seção
73109843 ribeiro da serra / pa",AMAZONAS
Srta. Amanda Da Rosa,849.123.756-91,27,1997-11-10,"rodovia silva, 71
conjunto floramar
85555343 costela / to",DISTRITO FEDERAL
Dr. Lucca Da Conceição,387.041.526-62,39,1985-12-20,"aeroporto de rezende, 2
são jorge 1ª seção
27728575 alves / es",ACRE
Agatha Castro,182.034.576-90,30,1995-01-19,"aeroporto de vieira, 19
serra verde
09017-364 barros das pedras / al",MINAS GERAIS
Cauê Nascimento,914.086.237-22,32,1992-04-25,"área de sales, 33
santa rosa
68147031 oliveira das flores / pi",PERNAMBUCO
Rhavi Guerra,801.542.763-08,57,1967-08-06,"lago ana laura vasconcelos, 2
acaba mundo
85305343 rodrigues da praia / mg",SERGIPE
Isadora Sales,951.638.427-73,50,1974-10-09,"loteamento de teixeira
vila independencia 2ª seção
76521779 pinto / pe",TOCANTINS
Sra. Ana Júlia Fogaça,490.132.875-14,36,1989-01-16,"vila joana brito, 30
dona clara
19820498 da cunha / go",RIO GRANDE DO SUL
Enrico Machado,965.802.413-06,31,1993-11-22,"rodovia asafe gonçalves, 67
engenho nogueira
98811-666 ferreira de minas / to",SERGIPE
Sr. Thales Albuquerque,241.359.607-07,24,2000-10-29,"vila marina azevedo, 6
santa helena
30272-429 fonseca / am",DISTRITO FEDERAL
Joana Fogaça,761.039.425-43,22,2002-04-08,"alameda freitas, 55
novo aarão reis
75777840 da mota de pastor / pa",AMAPÁ
Dr. Ravy Machado,504.192.638-70,55,1970-03-03,"conjunto de rodrigues, 4
penha
37262049 nascimento de silveira / ma",MARANHÃO
Anthony Sales,108.579.642-67,40,1984-08-01,"lagoa de cunha, 54
vila piratininga venda nova
06377385 cavalcanti alegre / rj",PARAÍBA
Vitória Souza,628.391.540-05,23,2002-02-18,"jardim de peixoto, 25
santa maria
75387-594 marques da prata / pb",GOIÁS
Isaac Aparecida,748.063.591-57,18,2006-05-03,"lagoa thomas da mata, 60
anchieta
76962531 ramos do norte / pr",MARANHÃO
Renan Guerra,205.341.689-06,34,1990-10-13,"fazenda nina sá, 52
miramar
61281-079 correia paulista / pr",PARANÁ
Anthony Gabriel Casa Grande,539.127.046-43,40,1984-03-18,"ladeira yago pastor
braúnas
69237596 câmara dos dourados / rn",RORAIMA
Sofia Correia,593.421.708-97,28,1996-06-24,"viaduto farias, 495
antonio ribeiro de abreu 1ª seção
08146659 da cruz verde / rr",PERNAMBUCO
Gustavo Henrique Vieira,890.652.743-83,59,1965-12-01,"trecho pastor, 494
buraco quente
27661963 farias do campo / sp",SÃO PAULO
Arthur Miguel Cassiano,092.831.576-21,37,1987-04-02,"condomínio de sales, 20
vila engenho nogueira
39418482 da luz do amparo / df",SERGIPE
Sarah Caldeira,718.390.645-01,21,2004-02-07,"vereda nascimento, 40
bairro das indústrias ii
82472262 moraes / sc",DISTRITO FEDERAL
Raul Pires,857.341.960-10,37,1987-08-06,"quadra vitória duarte, 42
vila nova cachoeirinha 2ª seção
59765007 moreira grande / rr",RIO GRANDE DO SUL
Otto Rios,835.297.064-00,56,1968-05-26,"favela de martins
betânia
35319499 andrade / rr",CEARÁ
Sra. Sofia Barros,847.021.536-17,38,1986-06-22,"recanto olívia novais, 2
vila santo antônio
38179151 sá do campo / sc",PIAUÍ
Maria Fernanda Lima,802.596.374-83,58,1966-03-23,"parque sofia costela, 34
vila fumec
54228148 sampaio de da cunha / pe",RONDÔNIA
Nicole Da Rocha,568.471.329-73,31,1994-02-28,"rodovia maysa dias, 75
vila são gabriel jacui
68472-296 campos alegre / mt",PIAUÍ
Sra. Cecília Almeida,409.387.261-96,50,1974-08-31,"recanto lucas brito, 60
beira linha
65282-518 freitas / ms",ACRE
Maria Luiza Gomes,256.307.489-47,50,1974-08-16,"viaduto ribeiro, 20
conjunto providencia
27842009 sales de casa grande / es",PARÁ
Dante Siqueira,379.452.816-64,30,1994-08-01,"alameda de azevedo
novo tupi
90276-064 campos / rj",CEARÁ
